,Ticker
1190,PM
1191,WH
1192,EV
1193,NYT
1194,ATVI
1195,I
1196,$RYCEY
1197,I
1198,PER
1199,QQQ
1200,$WISH
1201,ETF’s
1202,SPY
1203,EV/Infrastructure
1204,(MVST
1205,$NVCN
1206,$NVCN
1207,$NVCN
1208,PENN
1209,TD
1210,A
1211,ITM
1212,"IRA,"
1213,$NAUT
1214,$NAUT
1215,$NAUT
1216,ETF
1217,I'm
1218,$NAUT
1219,I
1220,DBX
1221,($SBH)
1222,"DD,"
1223,(SBLK)
1224,I
1225,US
1226,UK
1227,ETF
1228,SOFI
1229,(FVRR)
1230,I
1231,US-based
1232,$WCC;
1233,YOY
1234,WTF
1235,MMAT?!?!?!?
1236,US
1237,MMM
1238,I
1239,POTENTIAL
1240,SQUEEZE.
1241,SL/TP?
1242,DCBO
1243,SHOP:
1244,ATNF
1245,WEBR
1246,OR
1247,COOK
1248,DD
1249,EV
1250,($CRYBF/
1251,$ACDC.CN)
1252,BRK.B
1253,DD
1254,I
1255,SPRT
1256,US
1257,CPI
1258,ATNF...
1259,ATRA
1260,ATRA
1261,(ASTR)
1262,US
1263,DOD
1264,ATNF
1265,I
1266,NAUT
1267,GEO
1268,(ATD).
1269,$INMD
1270,DZSI
1271,I
1272,SCR
1273,[QUESTION]
1274,[QUESTION]
1275,$ZY
1276,ARVL
1277,ARRIVAL
1278,EV
1279,EV/Infrastructure
1280,(MVST)
1281,FREE
1282,EV
1283,(MVST)
1284,MRNA
1285,DD
1286,$CGNT
1287,I
1288,ATVI?
1289,SEC
1290,WRAP
1291,DD
1292,$CGNT
1293,DD:
1294,A
1295,EV
1296,$MVST
1297,"$AAPL,"
1298,"$TSLA,"
1299,"$NVDA,"
1300,"$MSFT,"
1301,$AMZN
1302,"$GOOG,"
1303,S&amp;P500?
1304,BATM
1305,COVID
1306,-LON:BVC
1307,$KTRA?
1308,I
1309,CTRM
1310,TO
1311,THE
1312,MOON🚀🌕
1313,DIBS
1314,I
1315,NAOV🚀🚀
1316,THIS
1317,IS
1318,THE
1319,PLAY!!
1320,$CYBN
1321,NYSE
1322,$CYBN
1323,NYSE
1324,I
1325,ATNM?
1326,I
1327,(WCC)
1328,$MVST
1329,EFFECTIVE
1330,COVID-19
1331,WCC
1332,WCC
1333,WCC
1334,ATNM?
1335,WCC
1336,ATNM?
1337,$MVST
1338,$MVST
1339,EFFECTIVE
1340,COVID-19
1341,ZY
1342,ZY
1343,ZY
1344,ZY
1345,ZY
1346,ZY
1347,US
1348,(FVRR)
1349,A
1350,($HIMX)
1351,SCR
1352,SPY
1353,SPY
1354,$EDU
1355,NEGATIVE
1356,EV
1357,$EDU
1358,NEGATIVE
1359,EV
1360,$DOCN
1361,$EDU
1362,NEGATIVE
1363,EV
1364,"$LCID,"
1365,PENN
